形態,工事名,工事箇所　　※起点側を代表して記入,緯度,経度,着工,竣工,発注者
単独,東栄住宅聖蹟桜ヶ丘整備,東京都多摩市関戸一丁目他,35.652574,139.446528,2017/08/04,2019/12/31,株式会社東栄住宅
ＪＭ,ＪＲ新小岩駅南北通路整備,東京都葛飾区（新小岩駅構内）,35.743494,139.847221,2013/11/16,2020/01/31,東日本旅客鉄道株式会社
単独,ＪＦＡフットボールＣ建設,千葉県千葉市美浜区幕張海浜公園内,35.643809,140.040189,2018/04/01,2020/03/31,公益財団法人日本サッカー協会
単独,関東地整荒川小台堤防整備,東京都足立区小台一丁目地先,35.75739,139.763003,2019/01/30,2020/03/23,国土交通省関東地方整備局
単独,厚木市森の里東区画事務局,神奈川県厚木市森の里14-12,35.449068,139.308196,2019/04/01,2020/03/31,厚木市森の里東土地区画整理組合
ＪＭ,都下水雑司が谷保守管理２,東京都豊島区雑司が谷3-1,35.719493,139.713655,2019/04/01,2020/03/31,東京都下水道局
単独,三井化学構内保全９７下,千葉県市原市千種海岸３番地　三井化学市原工場場内,35.50111,140.046767,2019/10/01,2020/03/31,三井化学株式会社
単独,東栄住宅聖蹟桜ヶ丘整備２,東京都多摩市関戸一丁目他,35.652574,139.446528,2020/01/06,2020/03/31,株式会社東栄住宅
ＪＳ,京成電鉄葛飾連立１工区５,東京都葛飾区四つ木一丁目地先,35.733462,139.835237,2020/02/03,2020/03/31,京成電鉄株式会社
単独,首都高Ｒ１雪凍対策支援,東京都中央区日本橋2-7-1,35.682001,139.774271,2020/01/28,2020/03/31,首都高速道路株式会社
単独,三芳富士塚区画調査設計２,埼玉県入間郡三芳町大字藤久保字富士塚,35.838093,139.524357,2013/09/25,2020/04/30,三芳町富士塚土地区画整理組
単独,都水道拝島２号配水池築造,東京都昭島市拝島町５丁目３番地内（拝島給水所内）,35.706035,139.339699,2016/06/24,2020/04/16,東京都水道局
ＪＳ,中央区新島橋架替工事,東京都中央区勝どき四丁目１３番先,35.656532,139.774864,2016/10/14,2020/05/29,東京都中央区
単独,三井化学構内保全９８上,千葉県市原市千種海岸３番地　三井化学市原工場場内	,35.50111,140.046767,2020/04/01,2020/09/30,三井化学株式会社
単独,都建設局川口川応急復旧,東京都八王子市中野町内,35.679407,139.318535,2020/02/03,2020/08/31,東京都建設局
単独,中央区新島橋倉庫新設,東京都中央区勝どき四丁目１３番先	,35.656532,139.774864,2020/05/01,2020/09/11,東京都中央区
単独,日揮軽米東８号調整池補修,岩手県九戸郡軽米町大字山内第4地割字駒坂１１１－１他５４筆,40.297062,141.424104,2020/07/03,2020/08/31,日揮ホールディングス株式会社
